IAA,IEG,IPS,IDA,IPP,IPV,IAN,INDE,Defasagem
8.0,8.8,6.27,7.3,7.65625,8.336666667,5.0,7.570158333,-1
0.0,10.0,6.27,9.8,9.21875,8.95,5.0,7.788875,-1
8.5,9.8,7.52,8.0,7.96875,8.95,10.0,8.749075,0
8.5,8.9,7.52,7.5,7.65625,7.836666667,10.0,8.215158333,0
0.0,9.1,7.52,6.4,6.875,7.78,5.0,6.5855,-1
8.5,9.8,7.52,3.2,6.40625,7.06,2.5,6.494825,-3
8.5,9.9,2.52,5.7,7.1875,8.113333333,10.0,7.553616667,0
9.0,9.3,7.52,5.8,7.5,7.613333333,5.0,7.434866667,-1
8.0,8.3,7.52,7.9,7.5,8.836666667,10.0,8.299533333,0
9.5,9.7,7.52,6.0,7.5,8.333333333,5.0,7.748866667,-1
8.0,9.6,7.52,6.8,5.78125,6.893333333,5.0,7.278991667,-2
0.0,9.2,7.52,5.0,7.34375,7.946666667,5.0,6.415708333,-1
8.5,9.0,7.52,8.0,7.5,8.56,5.0,7.9642,-1
10.0,6.3,3.77,5.4,7.5,8.006666667,10.0,7.058533333,0
8.5,9.7,3.77,6.9,6.875,8.39,5.0,7.4027,-1
7.5,9.2,7.52,8.3,7.083333333,8.45,5.0,7.890533333,-1
7.0,8.4,7.52,8.9,8.541666667,9.396666667,5.0,8.1357,-1
7.4,7.7,7.52,4.6,6.666666667,7.39,5.0,6.588466667,-1
9.0,9.1,7.52,6.5,7.5,7.78,5.0,7.5682,-1
8.0,8.8,7.52,5.9,6.666666667,7.006666667,5.0,7.0602,-1
8.5,9.5,7.52,6.0,7.291666667,7.563333333,5.0,7.434033333,-1
9.0,8.9,7.52,7.9,8.125,9.006666667,5.0,8.126033333,-1
7.5,9.0,7.52,8.3,8.333333333,8.393333333,5.0,7.9642,-1
0.0,8.3,7.52,5.8,7.708333333,7.78,10.0,6.888833333,0
10.0,8.7,5.02,7.8,9.53125,8.67,5.0,7.979325,-1
9.5,10.0,7.52,6.8,8.4375,8.67,10.0,8.62995,0
7.9,7.4,7.52,8.9,9.0625,8.28,5.0,7.85605,-1
8.0,9.3,7.52,6.0,8.4375,8.336666667,10.0,8.123283333,0
0.0,9.6,3.77,8.0,9.0625,8.336666667,5.0,6.970583333,-1
9.0,8.4,7.52,6.7,8.59375,8.17,5.0,7.655575,-1
9.0,9.3,5.02,8.0,9.21875,8.503333333,5.0,7.984741667,-1
8.0,9.3,7.52,6.5,8.90625,8.17,5.0,7.736825,-1
8.0,9.9,7.52,6.2,8.125,8.056666667,5.0,7.686033333,-2
10.0,9.3,7.52,6.6,7.8125,8.06,5.0,7.81545,-1
10.0,7.2,7.52,3.3,7.8125,8.003333333,5.0,6.724116667,-1
10.0,8.7,7.52,6.2,8.333333333,8.893333333,10.0,8.3342,0
9.0,9.3,7.52,7.0,7.916666667,7.836666667,10.0,8.2712,0
9.0,9.9,7.52,7.4,7.708333333,8.223333333,5.0,8.0177,-1
0.0,9.9,3.77,7.9,7.083333333,8.166666667,5.0,6.768666667,-1
0.0,6.5,3.77,4.3,7.708333333,7.666666667,5.0,5.331166667,-1
8.0,9.6,3.77,7.5,6.875,8.166666667,5.0,7.408033333,-1
8.5,9.5,6.27,6.7,7.708333333,8.11,5.0,7.600033333,-1
10.0,7.9,6.27,2.5,7.708333333,7.833333333,5.0,6.5447,-1
9.0,8.7,3.77,5.6,6.875,7.443333333,5.0,6.813366667,-1
8.0,9.7,7.52,6.1,7.5,8.336666667,5.0,7.629533333,-1
9.5,9.3,3.77,7.0,8.125,8.893333333,5.0,7.668366667,-1
0.0,8.5,7.52,5.9,8.125,8.446666667,5.0,6.633833333,-1
9.5,9.1,3.77,7.8,7.916666667,8.39,10.0,8.166866667,0
8.5,9.5,7.52,8.4,8.125,8.443333333,10.0,8.683366667,0
0.0,8.0,3.77,7.2,6.875,7.113333333,10.0,6.517166667,0
9.5,9.4,7.52,7.9,7.708333333,8.28,5.0,8.089033333,-1
9.0,6.0,2.52,5.6,7.916666667,8.166666667,5.0,6.3972,-2
0.0,8.5,3.77,6.3,8.541666667,8.223333333,10.0,6.835833333,0
10.0,8.5,3.77,6.9,8.125,7.893333333,10.0,7.848366667,0
8.5,7.3,3.77,5.9,8.125,8.056666667,5.0,6.781033333,-1
8.5,9.5,3.77,8.2,8.541666667,8.5,5.0,7.811366667,-1
10.0,7.7,7.52,6.3,8.125,7.943333333,5.0,7.443366667,-1
9.0,9.2,6.27,7.2,8.125,8.223333333,5.0,7.764366667,-1
8.5,8.9,6.27,8.4,8.75,8.613333333,10.0,8.534866667,0
